__time,/amcl_cov/data,/amcl_error/data,/amcl_num_particles/data
1686072876.961529,0.337042600,0.126539707,462.000000000
1686072877.383925,0.265809089,0.126848102,328.000000000
1686072877.745951,,0.127176031,
1686072877.756011,0.271759331,,258.000000000
1686072878.208561,0.299133658,0.127489388,328.000000000
1686072878.610899,0.338303655,0.127797410,462.000000000
1686072878.973043,0.317811549,0.128125399,396.000000000
1686072879.405503,0.288579643,0.128442302,462.000000000
1686072879.817877,0.305481166,0.128743768,462.000000000
1686072880.210153,,0.129032344,
1686072880.220217,0.316730171,,590.000000000
1686072880.602444,0.342348516,0.129314974,652.000000000
1686072880.984602,0.339966863,0.129605234,652.000000000
1686072881.396935,,0.129878208,
1686072881.406999,0.263198584,,652.000000000
1686072881.831979,,0.130145639,
1686072881.842040,0.271110266,,836.000000000
1686072882.214188,0.261680633,0.130403981,590.000000000
1686072882.636666,0.286271214,0.130668283,462.000000000
1686072882.968599,0.321516246,0.130926415,328.000000000
1686072883.380990,,0.131151304,
1686072883.391053,0.247044966,,328.000000000
1686072883.773287,0.223496690,0.131368056,462.000000000
1686072884.185695,0.284569651,0.131571189,462.000000000
1686072884.567863,,0.131751135,
1686072884.577926,0.262132615,,526.000000000
1686072884.970172,,0.131930664,
1686072884.980231,0.209982976,,396.000000000
1686072885.372549,0.238483235,0.132101685,396.000000000
1686072885.795000,,0.132262558,
1686072885.805061,0.248904273,,328.000000000
1686072886.217388,0.297931492,0.132419378,652.000000000
1686072886.639863,0.337516725,0.132555977,652.000000000
1686072887.001874,,0.132684410,
1686072887.011940,0.309277445,,714.000000000
1686072887.444413,,0.132800624,
1686072887.454482,0.302603185,,714.000000000
1686072887.846655,0.279593736,0.132913798,396.000000000
1686072888.188596,,0.133052856,
1686072888.198656,0.305314153,,526.000000000
1686072888.610928,0.329220533,0.133194223,652.000000000
1686072889.033477,0.348677427,0.133328930,652.000000000
1686072889.435797,,0.133476987,
1686072889.445858,0.371501386,,775.000000000
1686072889.828113,0.291076362,0.133637503,714.000000000
1686072890.250550,0.277397603,0.133769065,396.000000000
1686072890.612592,,0.133918658,
1686072890.622649,0.294826061,,526.000000000
1686072891.045005,,0.134060040,
1686072891.055063,0.263948172,,836.000000000
1686072891.447338,,0.134216100,
1686072891.457400,0.286401242,,896.000000000
1686072891.849553,0.282376200,0.134353533,836.000000000
1686072892.221640,0.274919897,0.134489059,652.000000000
1686072892.644039,0.311886907,0.134618640,462.000000000
1686072893.056393,0.345548630,0.134722784,714.000000000
1686072893.458763,0.350219637,0.134824798,652.000000000
1686072893.830774,,0.134926528,
1686072893.840834,0.310207695,,526.000000000
1686072894.243116,,0.135034174,
1686072894.253182,0.347727597,,526.000000000
1686072894.645416,0.294779032,0.135125458,462.000000000
1686072895.077953,0.319322228,0.135220975,396.000000000
1686072895.419908,0.263332903,0.135317162,328.000000000
1686072895.812171,0.264948815,0.135409355,328.000000000
1686072896.214530,0.224065483,0.135504737,328.000000000
1686072896.657123,0.249315038,0.135589197,396.000000000
1686072897.019215,0.279904753,0.135689259,462.000000000
1686072897.461776,0.285215706,0.135790825,396.000000000
1686072897.813842,,0.135917872,
1686072897.823900,0.284558862,,462.000000000
1686072898.266468,,0.136049926,
1686072898.276529,0.309784561,,526.000000000
1686072898.648591,0.297513545,0.136178911,714.000000000
1686072899.050889,0.282724559,0.136321455,714.000000000
1686072899.463373,0.317994475,0.136445224,652.000000000
1686072899.855681,0.305470794,0.136579245,714.000000000
1686072900.278096,0.267315477,0.136721358,462.000000000
1686072900.650168,0.282451749,0.136854857,526.000000000
1686072901.032292,0.296906978,0.136998937,590.000000000
1686072901.444662,0.292327762,0.137133822,775.000000000
